county_fips,state_abbrev,county_name,climate_zone
28107,MS,Panola County,3A
28109,MS,Pearl River County,3A
28111,MS,Perry County,3A
28113,MS,Pike County,3A
28115,MS,Pontotoc County,3A
28117,MS,Prentiss County,3A
28119,MS,Quitman County,3A
28121,MS,Rankin County,3A
28123,MS,Scott County,3A
28125,MS,Sharkey County,3A
28127,MS,Simpson County,3A
28129,MS,Smith County,3A
28131,MS,Stone County,3A
28133,MS,Sunflower County,3A
28135,MS,Tallahatchie County,3A
28137,MS,Tate County,3A
28139,MS,Tippah County,3A
28141,MS,Tishomingo County,3A
28143,MS,Tunica County,3A
28145,MS,Union County,3A
28147,MS,Walthall County,3A
28149,MS,Warren County,3A
28151,MS,Washington County,3A
28153,MS,Wayne County,3A
28155,MS,Webster County,3A
28157,MS,Wilkinson County,3A
28159,MS,Winston County,3A
28161,MS,Yalobusha County,3A
28163,MS,Yazoo County,3A
29001,MO,Adair County,4A
29003,MO,Andrew County,4A
29005,MO,Atchison County,4A
29007,MO,Audrain County,4A
29009,MO,Barry County,4A
29011,MO,Barton County,4A
29013,MO,Bates County,4A
29015,MO,Benton County,4A
29017,MO,Bollinger County,4A
29019,MO,Boone County,4A
29021,MO,Buchanan County,4A
29023,MO,Butler County,4A
29025,MO,Caldwell County,4A
29027,MO,Callaway County,4A
29029,MO,Camden County,4A
29031,MO,Cape Girardeau County,4A
29033,MO,Carroll County,4A
29035,MO,Carter County,4A
29037,MO,Cass County,4A
29039,MO,Cedar County,4A
29041,MO,Chariton County,4A
29043,MO,Christian County,4A
29045,MO,Clark County,4A
29047,MO,Clay County,4A
29049,MO,Clinton County,4A
29051,MO,Cole County,4A
29053,MO,Cooper County,4A
29055,MO,Crawford County,4A
29057,MO,Dade County,4A
29059,MO,Dallas County,4A
29061,MO,Daviess County,4A
29063,MO,DeKalb County,4A
29065,MO,Dent County,4A
29067,MO,Douglas County,4A
29069,MO,Dunklin County,4A
29071,MO,Franklin County,4A
29073,MO,Gasconade County,4A
29075,MO,Gentry County,4A
29077,MO,Greene County,4A
29079,MO,Grundy County,4A
29081,MO,Harrison County,4A
29083,MO,Henry County,4A
29085,MO,Hickory County,4A
29087,MO,Holt County,4A
29089,MO,Howard County,4A
29091,MO,Howell County,4A
29093,MO,Iron County,4A
29095,MO,Jackson County,4A
29097,MO,Jasper County,4A
29099,MO,Jefferson County,4A
29101,MO,Johnson County,4A
29103,MO,Knox County,4A
29105,MO,Laclede County,4A
29107,MO,Lafayette County,4A
29109,MO,Lawrence County,4A
29111,MO,Lewis County,4A
29113,MO,Lincoln County,4A
29115,MO,Linn County,4A
29117,MO,Livingston County,4A
29119,MO,McDonald County,4A
29121,MO,Macon County,4A
29123,MO,Madison County,4A
29125,MO,Maries County,4A
29127,MO,Marion County,4A
29129,MO,Mercer County,4A
29131,MO,Miller County,4A
29133,MO,Mississippi County,4A
29135,MO,Moniteau County,4A
29137,MO,Monroe County,4A
29139,MO,Montgomery County,4A
29141,MO,Morgan County,4A
29143,MO,New Madrid County,4A
29145,MO,Newton County,4A
29147,MO,Nodaway County,4A
29149,MO,Oregon County,4A
29151,MO,Osage County,4A
29153,MO,Ozark County,4A
29155,MO,Pemiscot County,4A
29157,MO,Perry County,4A
29159,MO,Pettis County,4A
29161,MO,Phelps County,4A
29163,MO,Pike County,4A
29165,MO,Platte County,4A
29167,MO,Polk County,4A
29169,MO,Pulaski County,4A
29171,MO,Putnam County,4A
29173,MO,Ralls County,4A
29175,MO,Randolph County,4A
29177,MO,Ray County,4A
29179,MO,Reynolds County,4A
29181,MO,Ripley County,4A
29183,MO,St. Charles County,4A
29185,MO,St. Clair County,4A
29186,MO,Ste. Genevieve County,4A
29187,MO,St. Francois County,4A
29189,MO,St. Louis County,4A
29195,MO,Saline County,4A
29197,MO,Schuyler County,4A
29199,MO,Scotland County,4A
29201,MO,Scott County,4A
29203,MO,Shannon County,4A
29205,MO,Shelby County,4A
29207,MO,Stoddard County,4A
29209,MO,Stone County,4A
29211,MO,Sullivan County,4A
29213,MO,Taney County,4A
29215,MO,Texas County,4A
29217,MO,Vernon County,4A
29219,MO,Warren County,4A
29221,MO,Washington County,4A
29223,MO,Wayne County,4A
29225,MO,Webster County,4A
29227,MO,Worth County,4A
29229,MO,Wright County,4A
29510,MO,St. Louis city,4A
30001,MT,Beaverhead County,6B
30003,MT,Big Horn County,6B
30005,MT,Blaine County,6B
30007,MT,Broadwater County,6B
30009,MT,Carbon County,6B
30011,MT,Carter County,6B
30013,MT,Cascade County,6B
30015,MT,Chouteau County,6B
30017,MT,Custer County,6B
30019,MT,Daniels County,6B
30021,MT,Dawson County,6B
30023,MT,Deer Lodge County,6B
30025,MT,Fallon County,6B
30027,MT,Fergus County,6B
30029,MT,Flathead County,6B
30031,MT,Gallatin County,6B
30033,MT,Garfield County,6B
30035,MT,Glacier County,6B
30037,MT,Golden Valley County,6B
30039,MT,Granite County,6B
30041,MT,Hill County,6B
30043,MT,Jefferson County,6B
30045,MT,Judith Basin County,6B
30047,MT,Lake County,6B
30049,MT,Lewis and Clark County,6B
30051,MT,Liberty County,6B
30053,MT,Lincoln County,6B
30055,MT,McCone County,6B
30057,MT,Madison County,6B
30059,MT,Meagher County,6B
30061,MT,Mineral County,6B
30063,MT,Missoula County,6B
30065,MT,Musselshell County,6B
30067,MT,Park County,6B
30069,MT,Petroleum County,6B
30071,MT,Phillips County,6B
30073,MT,Pondera County,6B
30075,MT,Powder River County,6B
30077,MT,Powell County,6B
30079,MT,Prairie County,6B
30081,MT,Ravalli County,6B
30083,MT,Richland County,6B
30085,MT,Roosevelt County,6B
30087,MT,Rosebud County,6B
30089,MT,Sanders County,6B
30091,MT,Sheridan County,6B
30093,MT,Silver Bow County,6B
30095,MT,Stillwater County,6B
30097,MT,Sweet Grass County,6B
30099,MT,Teton County,6B
30101,MT,Toole County,6B
30103,MT,Treasure County,6B
30105,MT,Valley County,6B
30107,MT,Wheatland County,6B
30109,MT,Wibaux County,6B
30111,MT,Yellowstone County,6B
31001,NE,Adams County,5A
31003,NE,Antelope County,5A
31005,NE,Arthur County,5A
31007,NE,Banner County,5A
31009,NE,Blaine County,5A
31011,NE,Boone County,5A
31013,NE,Box Butte County,5A
31015,NE,Boyd County,5A
31017,NE,Brown County,5A
31019,NE,Buffalo County,5A
31021,NE,Burt County,5A
31023,NE,Butler County,5A
31025,NE,Cass County,5A
31027,NE,Cedar County,5A
31029,NE,Chase County,5A
31031,NE,Cherry County,5A
31033,NE,Cheyenne County,5A
31035,NE,Clay County,5A
31037,NE,Colfax County,5A
31039,NE,Cuming County,5A
31041,NE,Custer County,5A
31043,NE,Dakota County,5A
31045,NE,Dawes County,5A
31047,NE,Dawson County,5A
31049,NE,Deuel County,5A
31051,NE,Dixon County,5A
31053,NE,Dodge County,5A
31055,NE,Douglas County,5A
31057,NE,Dundy County,5A
31059,NE,Fillmore County,5A
31061,NE,Franklin County,5A
31063,NE,Frontier County,5A
31065,NE,Furnas County,5A
31067,NE,Gage County,5A
31069,NE,Garden County,5A
31071,NE,Garfield County,5A
31073,NE,Gosper County,5A
31075,NE,Grant County,5A
31077,NE,Greeley County,5A
31079,NE,Hall County,5A
31081,NE,Hamilton County,5A
31083,NE,Harlan County,5A
31085,NE,Hayes County,5A
31087,NE,Hitchcock County,5A
31089,NE,Holt County,5A
31091,NE,Hooker County,5A
31093,NE,Howard County,5A
31095,NE,Jefferson County,5A
31097,NE,Johnson County,5A
31099,NE,Kearney County,5A
31101,NE,Keith County,5A
31103,NE,Keya Paha County,5A
31105,NE,Kimball County,5A
31107,NE,Knox County,5A
31109,NE,Lancaster County,5A
31111,NE,Lincoln County,5A
31113,NE,Logan County,5A
31115,NE,Loup County,5A
31117,NE,McPherson County,5A
31119,NE,Madison County,5A
31121,NE,Merrick County,5A
31123,NE,Morrill County,5A
31125,NE,Nance County,5A
31127,NE,Nemaha County,5A
31129,NE,Nuckolls County,5A
31131,NE,Otoe County,5A
31133,NE,Pawnee County,5A
31135,NE,Perkins County,5A
31137,NE,Phelps County,5A
31139,NE,Pierce County,5A
31141,NE,Platte County,5A
31143,NE,Polk County,5A
31145,NE,Red Willow County,5A
31147,NE,Richardson County,5A
31149,NE,Rock County,5A
31151,NE,Saline County,5A
31153,NE,Sarpy County,5A
31155,NE,Saunders County,5A
31157,NE,Scotts Bluff County,5A
31159,NE,Seward County,5A
31161,NE,Sheridan County,5A
31163,NE,Sherman County,5A
31165,NE,Sioux County,5A
31167,NE,Stanton County,5A
31169,NE,Thayer County,5A
31171,NE,Thomas County,5A
31173,NE,Thurston County,5A
31175,NE,Valley County,5A
31177,NE,Washington County,5A
31179,NE,Wayne County,5A
31181,NE,Webster County,5A
31183,NE,Wheeler County,5A
31185,NE,York County,5A
32001,NV,Churchill County,5B
32003,NV,Clark County,3B
32005,NV,Douglas County,3B
32007,NV,Elko County,5B
32009,NV,Esmeralda County,3B
32011,NV,Eureka County,5B
32013,NV,Humboldt County,5B
32015,NV,Lander County,5B
32017,NV,Lincoln County,5B
32019,NV,Lyon County,3B
32021,NV,Mineral County,5B
32023,NV,Nye County,5B
32027,NV,Pershing County,5B
32029,NV,Storey County,5B
32031,NV,Washoe County,5B
32033,NV,White Pine County,5B
32510,NV,Carson City,3B
33001,NH,Belknap County,6A
33003,NH,Carroll County,6A
33005,NH,Cheshire County,6A
33007,NH,Coos County,6A
33009,NH,Grafton County,6A
33011,NH,Hillsborough County,6A
33013,NH,Merrimack County,6A
33015,NH,Rockingham County,6A
33017,NH,Strafford County,6A
33019,NH,Sullivan County,6A
34001,NJ,Atlantic County,4A
34003,NJ,Bergen County,4A
34005,NJ,Burlington County,4A
34007,NJ,Camden County,4A
34009,NJ,Cape May County,4A
34011,NJ,Cumberland County,4A
34013,NJ,Essex County,4A
34015,NJ,Gloucester County,4A
34017,NJ,Hudson County,4A
34019,NJ,Hunterdon County,4A
34021,NJ,Mercer County,4A
34023,NJ,Middlesex County,4A
34025,NJ,Monmouth County,4A
34027,NJ,Morris County,4A
34029,NJ,Ocean County,4A
34031,NJ,Passaic County,4A
34033,NJ,Salem County,4A
34035,NJ,Somerset County,4A
34037,NJ,Sussex County,4A
34039,NJ,Union County,4A
34041,NJ,Warren County,4A
35001,NM,Bernalillo County,4B
35003,NM,Catron County,4B
35005,NM,Chaves County,4B
35006,NM,Cibola County,4B
35007,NM,Colfax County,4B
35009,NM,Curry County,4B
35011,NM,De Baca County,4B
35013,NM,Doña Ana County,4B
35015,NM,Eddy County,4B
35017,NM,Grant County,4B
35019,NM,Guadalupe County,4B
35021,NM,Harding County,4B
35023,NM,Hidalgo County,4B
35025,NM,Lea County,4B
35027,NM,Lincoln County,4B
35028,NM,Los Alamos County,4B
35029,NM,Luna County,4B
35031,NM,McKinley County,4B
35033,NM,Mora County,4B
35035,NM,Otero County,4B
35037,NM,Quay County,4B
35039,NM,Rio Arriba County,4B
35041,NM,Roosevelt County,4B
35043,NM,Sandoval County,4B
35045,NM,San Juan County,4B
35047,NM,San Miguel County,4B
35049,NM,Santa Fe County,4B
35051,NM,Sierra County,4B
35053,NM,Socorro County,4B
35055,NM,Taos County,4B
35057,NM,Torrance County,4B
35059,NM,Union County,4B
35061,NM,Valencia County,4B
36001,NY,Albany County,5A
36003,NY,Allegany County,5A
36005,NY,Bronx County,5A
36007,NY,Broome County,5A
36009,NY,Cattaraugus County,5A
36011,NY,Cayuga County,5A
36013,NY,Chautauqua County,5A
36015,NY,Chemung County,5A
36017,NY,Chenango County,5A
36019,NY,Clinton County,5A
36021,NY,Columbia County,5A
36023,NY,Cortland County,5A
36025,NY,Delaware County,5A
36027,NY,Dutchess County,5A
36029,NY,Erie County,5A
36031,NY,Essex County,5A
36033,NY,Franklin County,5A
36035,NY,Fulton County,5A
36037,NY,Genesee County,5A
36039,NY,Greene County,5A
36041,NY,Hamilton County,5A
36043,NY,Herkimer County,5A
36045,NY,Jefferson County,5A
36047,NY,Kings County,5A
36049,NY,Lewis County,5A
36051,NY,Livingston County,5A
36053,NY,Madison County,5A
36055,NY,Monroe County,5A
36057,NY,Montgomery County,5A
36059,NY,Nassau County,5A
36061,NY,New York County,5A
36063,NY,Niagara County,5A
36065,NY,Oneida County,5A
36067,NY,Onondaga County,5A
36069,NY,Ontario County,5A
36071,NY,Orange County,5A
36073,NY,Orleans County,5A
36075,NY,Oswego County,5A
36077,NY,Otsego County,5A
36079,NY,Putnam County,5A
36081,NY,Queens County,5A
36083,NY,Rensselaer County,5A
36085,NY,Richmond County,5A
36087,NY,Rockland County,5A
36089,NY,St. Lawrence County,5A
36091,NY,Saratoga County,5A
36093,NY,Schenectady County,5A
36095,NY,Schoharie County,5A
36097,NY,Schuyler County,5A
36099,NY,Seneca County,5A
36101,NY,Steuben County,5A
36103,NY,Suffolk County,5A
36105,NY,Sullivan County,5A
36107,NY,Tioga County,5A
36109,NY,Tompkins County,5A
36111,NY,Ulster County,5A
36113,NY,Warren County,5A
36115,NY,Washington County,5A
36117,NY,Wayne County,5A
36119,NY,Westchester County,5A
36121,NY,Wyoming County,5A
36123,NY,Yates County,5A
37001,NC,Alamance County,3A
37003,NC,Alexander County,3A
37005,NC,Alleghany County,3A
37007,NC,Anson County,3A
37009,NC,Ashe County,3A
37011,NC,Avery County,3A
37013,NC,Beaufort County,3A
37015,NC,Bertie County,3A
37017,NC,Bladen County,3A
37019,NC,Brunswick County,3A
37021,NC,Buncombe County,3A
37023,NC,Burke County,3A
37025,NC,Cabarrus County,3A
37027,NC,Caldwell County,3A
37029,NC,Camden County,3A
37031,NC,Carteret County,3A
37033,NC,Caswell County,3A
37035,NC,Catawba County,3A
37037,NC,Chatham County,3A
37039,NC,Cherokee County,3A
37041,NC,Chowan County,3A
37043,NC,Clay County,3A
37045,NC,Cleveland County,3A
37047,NC,Columbus County,3A
37049,NC,Craven County,3A
37051,NC,Cumberland County,3A
37053,NC,Currituck County,3A
37055,NC,Dare County,3A
37057,NC,Davidson County,3A
37059,NC,Davie County,3A
37061,NC,Duplin County,3A
37063,NC,Durham County,3A
37065,NC,Edgecombe County,3A
37067,NC,Forsyth County,3A
37069,NC,Franklin County,3A
37071,NC,Gaston County,3A
37073,NC,Gates County,3A
37075,NC,Graham County,3A
37077,NC,Granville County,3A
37079,NC,Greene County,3A
37081,NC,Guilford County,3A
37083,NC,Halifax County,3A
37085,NC,Harnett County,3A
37087,NC,Haywood County,3A
37089,NC,Henderson County,3A
37091,NC,Hertford County,3A
37093,NC,Hoke County,3A
37095,NC,Hyde County,3A
37097,NC,Iredell County,3A
37099,NC,Jackson County,3A
37101,NC,Johnston County,3A
37103,NC,Jones County,3A
37105,NC,Lee County,3A
37107,NC,Lenoir County,3A
37109,NC,Lincoln County,3A
37111,NC,McDowell County,3A
37113,NC,Macon County,3A
37115,NC,Madison County,3A
37117,NC,Martin County,3A
37119,NC,Mecklenburg County,3A
37121,NC,Mitchell County,3A
37123,NC,Montgomery County,3A
37125,NC,Moore County,3A
37127,NC,Nash County,3A
37129,NC,New Hanover County,3A
37131,NC,Northampton County,3A
37133,NC,Onslow County,3A
37135,NC,Orange County,3A
37137,NC,Pamlico County,3A
37139,NC,Pasquotank County,3A
37141,NC,Pender County,3A
37143,NC,Perquimans County,3A
37145,NC,Person County,3A
37147,NC,Pitt County,3A
37149,NC,Polk County,3A
37151,NC,Randolph County,3A
37153,NC,Richmond County,3A
37155,NC,Robeson County,3A
37157,NC,Rockingham County,3A
37159,NC,Rowan County,3A
37161,NC,Rutherford County,3A
37163,NC,Sampson County,3A
37165,NC,Scotland County,3A
37167,NC,Stanly County,3A
37169,NC,Stokes County,3A
37171,NC,Surry County,3A
37173,NC,Swain County,3A
37175,NC,Transylvania County,3A
37177,NC,Tyrrell County,3A
37179,NC,Union County,3A
37181,NC,Vance County,3A
37183,NC,Wake County,3A
37185,NC,Warren County,3A
37187,NC,Washington County,3A
37189,NC,Watauga County,3A
37191,NC,Wayne County,3A
37193,NC,Wilkes County,3A
37195,NC,Wilson County,3A
37197,NC,Yadkin County,3A
37199,NC,Yancey County,3A
38001,ND,Adams County,6A
38003,ND,Barnes County,7
38005,ND,Benson County,6A
38007,ND,Billings County,6A
38009,ND,Bottineau County,6A
38011,ND,Bowman County,6A
38013,ND,Burke County,6A
38015,ND,Burleigh County,7
38017,ND,Cass County,6A
38019,ND,Cavalier County,6A
38021,ND,Dickey County,6A
38023,ND,Divide County,7
38025,ND,Dunn County,6A
38027,ND,Eddy County,6A
38029,ND,Emmons County,6A
38031,ND,Foster County,6A
38033,ND,Golden Valley County,7
38035,ND,Grand Forks County,6A
38037,ND,Grant County,6A
38039,ND,Griggs County,6A
38041,ND,Hettinger County,7
38043,ND,Kidder County,6A
38045,ND,LaMoure County,6A
38047,ND,Logan County,6A
38049,ND,McHenry County,6A
38051,ND,McIntosh County,6A
38053,ND,McKenzie County,7
38055,ND,McLean County,7
38057,ND,Mercer County,6A
38059,ND,Morton County,7
38061,ND,Mountrail County,7
38063,ND,Nelson County,6A
38065,ND,Oliver County,7
38067,ND,Pembina County,6A
38069,ND,Pierce County,6A
38071,ND,Ramsey County,6A
38073,ND,Ransom County,6A
38075,ND,Renville County,6A
38077,ND,Richland County,6A
38079,ND,Rolette County,6A
38081,ND,Sargent County,6A
38083,ND,Sheridan County,6A
38085,ND,Sioux County,7
38087,ND,Slope County,7
38089,ND,Stark County,7
38091,ND,Steele County,6A
38093,ND,Stutsman County,6A
38095,ND,Towner County,6A
38097,ND,Traill County,6A
38099,ND,Walsh County,6A
38101,ND,Ward County,6A
38103,ND,Wells County,6A
38105,ND,Williams County,7
39001,OH,Adams County,5A
39003,OH,Allen County,5A
39005,OH,Ashland County,5A
39007,OH,Ashtabula County,5A
39009,OH,Athens County,5A
39011,OH,Auglaize County,5A
39013,OH,Belmont County,5A
39015,OH,Brown County,5A
39017,OH,Butler County,5A
39019,OH,Carroll County,5A
39021,OH,Champaign County,5A
39023,OH,Clark County,5A
39025,OH,Clermont County,5A
39027,OH,Clinton County,5A
39029,OH,Columbiana County,5A
39031,OH,Coshocton County,5A
39033,OH,Crawford County,5A
39035,OH,Cuyahoga County,5A
39037,OH,Darke County,5A
39039,OH,Defiance County,5A
39041,OH,Delaware County,5A
39043,OH,Erie County,5A
39045,OH,Fairfield County,5A
39047,OH,Fayette County,5A
39049,OH,Franklin County,5A
39051,OH,Fulton County,5A
39053,OH,Gallia County,5A
39055,OH,Geauga County,5A
39057,OH,Greene County,5A
39059,OH,Guernsey County,5A
39061,OH,Hamilton County,5A
39063,OH,Hancock County,5A
39065,OH,Hardin County,5A
39067,OH,Harrison County,5A
39069,OH,Henry County,5A
39071,OH,Highland County,5A
39073,OH,Hocking County,5A
39075,OH,Holmes County,5A
39077,OH,Huron County,5A
39079,OH,Jackson County,5A
39081,OH,Jefferson County,5A
39083,OH,Knox County,5A
39085,OH,Lake County,5A
39087,OH,Lawrence County,5A
39089,OH,Licking County,5A
39091,OH,Logan County,5A
39093,OH,Lorain County,5A
39095,OH,Lucas County,5A
39097,OH,Madison County,5A
39099,OH,Mahoning County,5A
39101,OH,Marion County,5A
39103,OH,Medina County,5A
39105,OH,Meigs County,5A
39107,OH,Mercer County,5A
39109,OH,Miami County,5A
39111,OH,Monroe County,5A
39113,OH,Montgomery County,5A
39115,OH,Morgan County,5A
39117,OH,Morrow County,5A
39119,OH,Muskingum County,5A
39121,OH,Noble County,5A
39123,OH,Ottawa County,5A
39125,OH,Paulding County,5A
39127,OH,Perry County,5A
39129,OH,Pickaway County,5A
39131,OH,Pike County,5A
39133,OH,Portage County,5A
39135,OH,Preble County,5A
39137,OH,Putnam County,5A
39139,OH,Richland County,5A
39141,OH,Ross County,5A
39143,OH,Sandusky County,5A
39145,OH,Scioto County,5A
39147,OH,Seneca County,5A
39149,OH,Shelby County,5A
39151,OH,Stark County,5A
39153,OH,Summit County,5A
39155,OH,Trumbull County,5A
39157,OH,Tuscarawas County,5A
39159,OH,Union County,5A
39161,OH,Van Wert County,5A
39163,OH,Vinton County,5A
39165,OH,Warren County,5A
39167,OH,Washington County,5A
39169,OH,Wayne County,5A
39171,OH,Williams County,5A
39173,OH,Wood County,5A
39175,OH,Wyandot County,5A
40001,OK,Adair County,3A
40003,OK,Alfalfa County,3A
40005,OK,Atoka County,3A
40007,OK,Beaver County,3A
40009,OK,Beckham County,3A
40011,OK,Blaine County,3A
40013,OK,Bryan County,3A
40015,OK,Caddo County,3A
40017,OK,Canadian County,3A
40019,OK,Carter County,3A
40021,OK,Cherokee County,3A
40023,OK,Choctaw County,3A
40025,OK,Cimarron County,3A
40027,OK,Cleveland County,3A
40029,OK,Coal County,3A
40031,OK,Comanche County,3A
40033,OK,Cotton County,3A
40035,OK,Craig County,3A
40037,OK,Creek County,3A
40039,OK,Custer County,3A
40041,OK,Delaware County,3A
40043,OK,Dewey County,3A
40045,OK,Ellis County,3A
40047,OK,Garfield County,3A
40049,OK,Garvin County,3A
40051,OK,Grady County,3A
40053,OK,Grant County,3A
40055,OK,Greer County,3A
40057,OK,Harmon County,3A
40059,OK,Harper County,3A
40061,OK,Haskell County,3A
40063,OK,Hughes County,3A
40065,OK,Jackson County,3A
40067,OK,Jefferson County,3A
40069,OK,Johnston County,3A
40071,OK,Kay County,3A
40073,OK,Kingfisher County,3A
40075,OK,Kiowa County,3A
40077,OK,Latimer County,3A
40079,OK,Le Flore County,3A
